Anthelmintic,strain1,strain2,Relative.Potency.Estimate,SE,t.value,p.value,p...0.05
Niridazole,CX11314,JU775,1.20145933127755,0.0754361571230843,2.67059377042288,0.007699,T
Niridazole,CX11314,MY16,1.1169682327799,0.069604332130146,1.68047345905417,0.093189,F
Niridazole,CX11314,N2,1.0177170870668,0.0639876379870677,0.276882967150392,0.781929,F
Niridazole,DL238,JU775,1.46900498634816,0.106863752748524,4.38881261686402,0.000013,T
Niridazole,DL238,MY16,1.36569908013567,0.0994642959485384,3.67668696237368,0.000249,T
Niridazole,DL238,N2,1.24434630176216,0.0898107326592237,2.72068041900186,0.006632,T
Niridazole,JU775,MY16,0.929676272597753,0.0561658159189822,-1.25207345876872,0.210846,F
Niridazole,JU775,N2,0.847067445874038,0.0523673560522125,-2.92037951989559,0.003577,T
Niridazole,MY16,N2,0.911142373793316,0.055836953860947,-1.59137667910699,0.111852,F
Diethylcarbamazine,CB4856,CX11314,1.16567107556436,0.0778766214235011,2.12735314573324,0.033573,T
Diethylcarbamazine,CB4856,DL238,1.06158555368853,0.0689535131153593,0.893145989320281,0.371939,F
Diethylcarbamazine,CB4856,JU775,1.0824513280869,0.076954691359985,1.07142692186497,0.28417,F
Diethylcarbamazine,CB4856,MY16,1.40298418201635,0.0919269248141185,4.38374483679522,0.000013,T
Diethylcarbamazine,CB4856,N2,1.03969676246242,0.0713658929844864,0.556242776518551,0.578138,F
Diethylcarbamazine,CX11314,DL238,0.910707639523918,0.0559451574962293,-1.59606951651,0.110709,F
Diethylcarbamazine,CX11314,JU775,0.928607864412203,0.063538807461554,-1.12359892229635,0.261384,F
Diethylcarbamazine,CX11314,MY16,1.20358496614244,0.0717011741469969,2.83935330996204,0.004589,T
Diethylcarbamazine,CX11314,N2,0.891929794139436,0.0585923350213722,-1.84444272140962,0.065339,F
Diethylcarbamazine,DL238,JU775,1.01965529233689,0.0680732586503805,0.288737350415998,0.772827,F
Diethylcarbamazine,DL238,MY16,1.3215931369277,0.0765483689912971,4.20117555952456,0.000028,T
Diethylcarbamazine,DL238,N2,0.979381038909152,0.0626042396138559,-0.32935406959698,0.741939,F
Diethylcarbamazine,JU775,MY16,1.29611756724061,0.0855887675329974,3.45977136691966,0.000558,T
Diethylcarbamazine,JU775,N2,0.960502089548872,0.0677483021581481,-0.583009598660149,0.559985,F
Diethylcarbamazine,MY16,N2,0.741060929830424,0.0466246544904431,-5.55369413456247,<< 0.00001,T
Cry5B,CB4856,CX11314,0.66808423163637,0.059776755192928,-5.55258925132988,<< 0.00001,T
Cry5B,CB4856,DL238,1.0969592108458,0.103108982130472,0.940356590108822,0.347208,F
Cry5B,CB4856,JU775,0.514158074059636,0.0451406196602619,-10.7628545996248,<< 0.00001,T
Cry5B,CB4856,MY16,0.948117025755762,0.0880931677302359,-0.588955711107094,0.555993,F
Cry5B,CB4856,N2,0.661393426391427,0.0553274455186568,-6.12004712009327,<< 0.00001,T
Cry5B,CX11314,DL238,1.64194746545502,0.14590676069039,4.39971021505449,0.000012,T
Cry5B,CX11314,JU775,0.769600672658123,0.0633471556301877,-3.63709033262548,0.000286,T
Cry5B,CX11314,MY16,1.41915791581174,0.124296081646985,3.37225365641213,0.000767,T
Cry5B,CX11314,N2,0.989985087316677,0.0771607549353058,-0.129792829161921,0.89675,F
Cry5B,DL238,JU775,0.468712117074251,0.0409225605318005,-12.9827624669989,<< 0.00001,T
Cry5B,DL238,MY16,0.864313838091322,0.0798774481216934,-1.69867922798385,0.089617,F
Cry5B,DL238,N2,0.602933472687161,0.0501780408547004,-7.9131532548793,<< 0.00001,T
Cry5B,JU775,MY16,1.84401854913941,0.158915548676302,5.31111370894618,<< 0.00001,T
Cry5B,JU775,N2,1.28636203486851,0.0980635892569316,2.92016677176916,0.003558,T
Cry5B,MY16,N2,0.697586277246965,0.0571493802257847,-5.2916360870103,<< 0.00001,T
Praziquantel,CB4856,CX11314,0.364369124898251,0.0606784835224062,-10.4753915754509,<< 0.00001,T
Praziquantel,CB4856,DL238,0.740728747519564,0.0554317472811809,-4.6773061503053,0.000003,T
Praziquantel,CB4856,JU775,0.685462896268412,0.0584490097826452,-5.3813931989825,<< 0.00001,T
Praziquantel,CB4856,MY16,1.06263714904322,0.0720374079285967,0.869508646192592,0.384781,F
Praziquantel,CB4856,N2,0.547157754483399,0.0516196584365225,-8.77267032042585,<< 0.00001,T
Praziquantel,CX11314,DL238,2.03290755693532,0.334465261561853,3.08823568735344,0.00207,T
Praziquantel,CX11314,JU775,1.88123210620501,0.314824849425059,2.79911864585764,0.005225,T
Praziquantel,CX11314,MY16,2.9163753908621,0.485760849718988,3.94510054066877,0.000085,T
Praziquantel,CX11314,N2,1.50165784391362,0.25280985307026,1.98432868743529,0.047497,T
Praziquantel,DL238,JU775,0.925389892809996,0.0805247068766381,-0.926549255302534,0.354388,F
Praziquantel,DL238,MY16,1.43458337833061,0.106764654130356,4.07047989683927,0.000051,T
Praziquantel,DL238,N2,0.73867492832651,0.0695606858167335,-3.75679262797931,0.000182,T
Praziquantel,JU775,MY16,1.55024751132133,0.131815002357305,4.1743921517355,0.000033,T
Praziquantel,JU775,N2,0.798231031120822,0.080253680164611,-2.51413976861027,0.012091,T
Praziquantel,MY16,N2,0.514905539464766,0.0485673929211811,-9.98806877121205,<< 0.00001,T
Piperazine,CB4856,CX11314,0.795271807582493,0.0790447460342856,-2.59002909983045,0.009704,T
Piperazine,CB4856,DL238,0.66752863596832,0.0667718918283838,-4.97921138562606,0.000001,T
Piperazine,CB4856,JU775,0.444760061806902,0.0668783422457073,-8.30223835622565,<< 0.00001,T
Piperazine,CB4856,MY16,0.936787655224575,0.09549324610062,-0.661956183883608,0.508117,F
Piperazine,CB4856,N2,0.642692190869053,0.0626758471544155,-5.70088519506792,<< 0.00001,T
Piperazine,CX11314,DL238,0.839371683497126,0.081200165899152,-1.97817719612013,0.04812,T
Piperazine,CX11314,JU775,0.559255411252294,0.0818481532715043,-5.38490572029989,<< 0.00001,T
Piperazine,CX11314,MY16,1.17794651626375,0.117060133335412,1.52012910965926,0.128722,F
Piperazine,CX11314,N2,0.808141549519706,0.0761492736991991,-2.51950466708538,0.011871,T
Piperazine,DL238,JU775,0.666278625128541,0.0957919725220155,-3.48381358150612,0.000511,T
Piperazine,DL238,MY16,1.40336699393528,0.140234734420101,2.87637007766499,0.004089,T
Piperazine,DL238,N2,0.962793438721564,0.0905264624368156,-0.411002045997381,0.681139,F
Piperazine,JU775,MY16,2.10627647504756,0.315786024614302,3.50324710030708,0.000475,T
Piperazine,JU775,N2,1.44503125630935,0.206040973188594,2.15991629927901,0.030962,T
Piperazine,MY16,N2,0.686059628651897,0.0668474893928182,-4.69636742082092,0.000003,T
Oxamniquine,CB4856,CX11314,1.20867980558242,0.0984331103086622,2.12001637384057,0.034277,T
Oxamniquine,CB4856,DL238,1.05713542951211,0.09406038134304,0.607433530422712,0.543716,F
Oxamniquine,CB4856,JU775,1.15664349172884,0.0995188855252066,1.57400769614895,0.115836,F
Oxamniquine,CB4856,MY16,1.08158165060554,0.0938892110980063,0.868914006747573,0.385125,F
Oxamniquine,CB4856,N2,0.613729104284848,0.184948965963601,-2.08852692796981,0.03703,T
Oxamniquine,CX11314,DL238,0.874619915572027,0.0625850408789291,-2.00335547707831,0.045437,T
Oxamniquine,CX11314,JU775,0.956947808995202,0.0637949999783177,-0.674852120376684,0.499942,F
Oxamniquine,CX11314,MY16,0.894845471571656,0.0609565816938272,-1.72507259275977,0.084856,F
Oxamniquine,CX11314,N2,0.50776814624541,0.153814832477421,-3.20015856615679,0.001421,T
Oxamniquine,DL238,JU775,1.09412990941251,0.083992854454444,1.12068949226588,0.262718,F
Oxamniquine,DL238,MY16,1.02312496621621,0.0798345288001818,0.289661210052247,0.772142,F
Oxamniquine,DL238,N2,0.580558637191922,0.175032770516007,-2.39635904506076,0.016761,T
Oxamniquine,JU775,MY16,0.935103736233272,0.0692635515730215,-0.936946811026737,0.349036,F
Oxamniquine,JU775,N2,0.530612162410998,0.160643573824141,-2.92192103558932,0.003565,T
Oxamniquine,MY16,N2,0.567436683066178,0.171220677232876,-2.52634976058117,0.011695,T
Monepantel LY3348298,CB4856,CX11314,0.986040645597371,0.0962052618794323,-0.14509969756252,0.884656,F
Monepantel LY3348298,CB4856,DL238,0.977434390550316,0.0966235768266083,-0.233541441859244,0.81538,F
Monepantel LY3348298,CB4856,JU775,1.91112236083184,0.190865674889549,4.77363130567659,0.000002,T
Monepantel LY3348298,CB4856,MY16,1.38555440227056,0.134425698064709,2.86815994130049,0.004199,T
Monepantel LY3348298,CB4856,N2,0.869635492372131,0.0838869723638995,-1.55404950201744,0.12043,F
Monepantel LY3348298,CX11314,DL238,0.991271906401139,0.0928876499242342,-0.0939639834356869,0.925153,F
Monepantel LY3348298,CX11314,JU775,1.93817807548291,0.18230155310832,5.14629776590806,<< 0.00001,T
Monepantel LY3348298,CX11314,MY16,1.40516966360058,0.12555335961719,3.22707146058004,0.001284,T
Monepantel LY3348298,CX11314,N2,0.881946901737789,0.0778632603241145,-1.51615919717209,0.129737,F
Monepantel LY3348298,DL238,JU775,1.95524362484917,0.190006968415507,5.02741364074736,0.000001,T
Monepantel LY3348298,DL238,MY16,1.41754210376254,0.132820255611353,3.14366285353581,0.001708,T
Monepantel LY3348298,DL238,N2,0.889712394795632,0.0830669223192688,-1.32769581591667,0.184526,F
Monepantel LY3348298,JU775,MY16,0.724995128866303,0.0685621704636665,-4.01102924942308,0.000064,T
Monepantel LY3348298,JU775,N2,0.455039148824364,0.0426428850950343,-12.7796430743636,<< 0.00001,T
Monepantel LY3348298,MY16,N2,0.62764442229553,0.0564624457938255,-6.59474757902162,<< 0.00001,T
Monepantel LY33414916,CB4856,CX11314,0.865953294252632,0.0601211553929543,-2.22960960865162,0.025944,T
Monepantel LY33414916,CB4856,DL238,0.779388183126164,0.0505632563154841,-4.36308562679097,0.000014,T
Monepantel LY33414916,CB4856,JU775,1.38657841197938,0.0931518722510127,4.14998005555571,0.000035,T
Monepantel LY33414916,CB4856,MY16,0.940168494175421,0.063361159629827,-0.944293099654911,0.345195,F
Monepantel LY33414916,CB4856,N2,0.877694670390369,0.057544918383898,-2.12538887958271,0.033742,T
Monepantel LY33414916,CX11314,DL238,0.900034895991499,0.0586884661303897,-1.70331771470064,0.088748,F
Monepantel LY33414916,CX11314,JU775,1.60121616394574,0.107920848622437,5.57089915081291,<< 0.00001,T
Monepantel LY33414916,CX11314,MY16,1.08570346739871,0.07260231866356,1.18045083099707,0.238037,F
Monepantel LY33414916,CX11314,N2,1.01355890232841,0.0669057915065324,0.202656631408158,0.839435,F
Monepantel LY33414916,DL238,JU775,1.7790600909777,0.112670353104765,6.91450829352865,<< 0.00001,T
Monepantel LY33414916,DL238,MY16,1.20629041410964,0.0763915340547102,2.70043554776502,0.007015,T
Monepantel LY33414916,DL238,N2,1.12613289422723,0.0695337044431797,1.81398208591491,0.069911,F
Monepantel LY33414916,JU775,MY16,0.678049280194191,0.0444839560379443,-7.23745701778836,<< 0.00001,T
Monepantel LY33414916,JU775,N2,0.632993174282468,0.0405594266761863,-9.04861966239314,<< 0.00001,T
Monepantel LY33414916,MY16,N2,0.933550396368211,0.0598570166418233,-1.11013891703649,0.267145,F
Pyrantel citrate,CB4856,CX11314,1.36381532798065,0.106321447389287,3.42184325847795,0.000644,T
